,sky_id,fbref_player,short_team,sky_pos,sky_value,MD_1_Pts,MD_2_Pts,MD_3_Pts,MD_4_Pts,MD_5_Pts,MD_6_Pts,MD_7_Pts,MD_8_Pts,MD_9_Pts,MD_10_Pts,MD_11_Pts,MD_12_Pts,MD_13_Pts,MD_14_Pts,Total_Pts
336,1847,Edson Álvarez,WHU,MID,7.1,0.0,0.0,2.56,0.0,0.0,2.3,0.0,0.0,0.0,2.01,0.0,0.0,0.0,2.19,9.059999999999999
337,3458,Igor,BHA,DEF,7.6,0.0,0.0,2.63,4.91,0.0,0.0,0.0,0.0,0.0,2.99,0.0,0.0,0.0,3.94,14.47
338,3243,Thomas Kaminski,LUT,GK,6.3,0.0,3.39,0.0,0.0,0.0,2.79,0.0,3.78,0.0,0.0,2.98,0.0,0.0,0.0,12.94
339,98,Adam Lallana,BHA,MID,6.8,0.0,0.0,1.69,1.88,0.0,0.0,0.0,0.0,0.0,1.87,0.0,0.0,0.0,1.65,7.09
340,936,Emmanuel Dennis,FOR,FOR,7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
341,812,Hugo Bueno,WOL,DEF,7.0,0.0,0.0,1.36,0.0,0.0,0.0,1.06,0.0,0.87,0.0,1.11,0.0,0.0,0.0,4.4
342,1237,David Brooks,BOU,MID,6.7,0.0,0.79,0.0,0.0,0.0,0.73,0.0,0.91,0.0,0.0,0.0,0.7,0.0,0.0,3.13
343,3432,Bénie Adama Traore,SHU,FOR,7.0,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.49,0.0,0.0,0.47,0.0,0.0,0.0,1.5599999999999998
344,555,Giovani Lo Celso,TOT,MID,7.6,2.82,0.0,0.0,0.0,0.0,3.11,0.0,0.0,0.0,2.21,0.0,3.26,0.0,0.0,11.4
345,1450,Boubacar Traoré,WOL,MID,6.7,0.0,0.0,0.64,0.0,0.0,0.0,0.71,0.0,0.72,0.0,0.75,0.0,0.0,0.0,2.8200000000000003
